Sounding of        	seconds	height	Temp	Pres	Rh	Vel	Dir
2025-07-07 12:00UTC	53	3407	-44.3	613.0	67	9.3	34
2025-07-07 12:00UTC	54	3410	-44.2	612.7	67	9.2	34
2025-07-07 12:00UTC	55	3413	-43.9	612.5	67	9.2	33
2025-07-07 12:00UTC	56	3416	-43.7	612.3	67	9.1	33
2025-07-07 12:00UTC	57	3417	-43.6	612.0	67	9.0	32
2025-07-07 12:00UTC	58	3419	-43.6	611.8	67	9.0	32
2025-07-07 12:00UTC	59	3422	-43.6	611.6	66	8.9	32
2025-07-07 12:00UTC	60	3426	-43.6	611.3	66	8.9	31
2025-07-07 12:00UTC	61	3429	-43.6	611.1	66	8.8	31
2025-07-07 12:00UTC	62	3431	-43.6	610.8	67	8.8	30
2025-07-07 12:00UTC	63	3433	-43.6	610.6	67	8.7	30
2025-07-07 12:00UTC	64	3436	-43.7	610.3	67	8.7	29
2025-07-07 12:00UTC	65	3439	-43.7	610.1	68	8.6	29
2025-07-07 12:00UTC	66	3442	-43.7	609.8	68	8.5	28
2025-07-07 12:00UTC	67	3446	-43.7	609.6	68	8.5	28
2025-07-07 12:00UTC	68	3448	-43.7	609.3	69	8.4	27
2025-07-07 12:00UTC	69	3450	-43.7	609.1	69	8.4	27
2025-07-07 12:00UTC	70	3452	-43.7	608.8	69	8.3	26
2025-07-07 12:00UTC	71	3455	-43.7	608.6	69	8.3	26
2025-07-07 12:00UTC	72	3459	-43.7	608.3	70	8.2	26
2025-07-07 12:00UTC	73	3462	-43.7	608.0	70	8.2	25
2025-07-07 12:00UTC	74	3465	-43.8	607.8	70	8.1	25
2025-07-07 12:00UTC	75	3468	-43.8	607.5	71	8.1	25
2025-07-07 12:00UTC	76	3472	-43.8	607.2	71	8.0	25
2025-07-07 12:00UTC	77	3474	-43.8	607.0	71	8.0	25
2025-07-07 12:00UTC	78	3477	-43.8	606.7	72	7.9	25
2025-07-07 12:00UTC	79	3478	-43.8	606.5	72	7.9	25
2025-07-07 12:00UTC	80	3481	-43.8	606.3	71	7.9	25
2025-07-07 12:00UTC	81	3484	-43.8	606.0	71	7.8	26
2025-07-07 12:00UTC	82	3487	-43.8	605.8	71	7.8	26
2025-07-07 12:00UTC	83	3489	-43.8	605.6	71	7.8	26
2025-07-07 12:00UTC	84	3491	-43.8	605.4	71	7.8	27
2025-07-07 12:00UTC	85	3494	-43.8	605.1	72	7.7	27
2025-07-07 12:00UTC	86	3497	-43.8	604.9	72	7.7	28
2025-07-07 12:00UTC	87	3499	-43.7	604.7	74	7.7	28
2025-07-07 12:00UTC	88	3502	-43.6	604.5	75	7.7	29
2025-07-07 12:00UTC	89	3504	-43.5	604.2	77	7.7	30
2025-07-07 12:00UTC	90	3506	-43.3	604.0	78	7.7	31
2025-07-07 12:00UTC	91	3509	-43.1	603.8	79	7.8	31
2025-07-07 12:00UTC	92	3511	-42.9	603.6	79	7.8	32
2025-07-07 12:00UTC	93	3513	-42.7	603.4	78	7.8	33
2025-07-07 12:00UTC	94	3517	-42.6	603.2	77	7.9	34
2025-07-07 12:00UTC	95	3518	-42.6	602.9	76	7.9	34
2025-07-07 12:00UTC	96	3521	-42.5	602.7	75	8.0	35
2025-07-07 12:00UTC	97	3523	-42.5	602.5	75	8.0	36
2025-07-07 12:00UTC	98	3526	-42.5	602.3	74	8.1	37
2025-07-07 12:00UTC	99	3528	-42.4	602.0	74	8.2	37
2025-07-07 12:00UTC	100	3532	-42.4	601.8	74	8.2	38
2025-07-07 12:00UTC	101	3534	-42.4	601.5	74	8.3	39
2025-07-07 12:00UTC	102	3537	-42.4	601.3	74	8.4	39
2025-07-07 12:00UTC	103	3539	-42.4	601.1	74	8.5	40
2025-07-07 12:00UTC	104	3543	-42.4	600.8	74	8.6	40
2025-07-07 12:00UTC	105	3545	-42.4	600.6	74	8.7	41
2025-07-07 12:00UTC	106	3548	-42.4	600.4	74	8.8	41
2025-07-07 12:00UTC	107	3549	-42.4	600.2	74	8.9	41
2025-07-07 12:00UTC	108	3552	-42.4	600.0	74	9.0	42
2025-07-07 12:00UTC	109	3553	-42.4	599.8	74	9.1	42
2025-07-07 12:00UTC	110	3556	-42.3	599.6	74	9.2	42
2025-07-07 12:00UTC	111	3559	-42.3	599.3	74	9.3	43
2025-07-07 12:00UTC	112	3561	-42.2	599.1	75	9.4	43
2025-07-07 12:00UTC	113	3563	-42.2	598.9	75	9.5	43
2025-07-07 12:00UTC	114	3565	-42.2	598.7	75	9.6	43
2025-07-07 12:00UTC	115	3568	-42.3	598.5	75	9.8	44
2025-07-07 12:00UTC	116	3571	-42.3	598.3	75	9.9	44
2025-07-07 12:00UTC	117	3573	-42.3	598.0	75	10.0	44
2025-07-07 12:00UTC	118	3576	-42.3	597.8	75	10.1	44
2025-07-07 12:00UTC	119	3579	-42.3	597.6	75	10.2	44
2025-07-07 12:00UTC	120	3580	-42.3	597.4	76	10.3	45
2025-07-07 12:00UTC	121	3583	-42.3	597.2	76	10.4	45
2025-07-07 12:00UTC	122	3586	-42.3	596.9	76	10.5	45
2025-07-07 12:00UTC	123	3589	-42.2	596.7	76	10.6	45
2025-07-07 12:00UTC	124	3592	-42.2	596.5	76	10.7	45
2025-07-07 12:00UTC	125	3595	-42.2	596.2	76	10.8	45
2025-07-07 12:00UTC	126	3597	-42.2	596.0	75	10.9	46
2025-07-07 12:00UTC	127	3599	-42.2	595.8	75	11.0	46
2025-07-07 12:00UTC	128	3601	-42.2	595.6	75	11.1	46
2025-07-07 12:00UTC	129	3604	-42.2	595.4	75	11.2	46
2025-07-07 12:00UTC	130	3606	-42.2	595.2	74	11.3	46
2025-07-07 12:00UTC	131	3608	-42.2	595.0	74	11.4	46
2025-07-07 12:00UTC	132	3611	-42.2	594.8	74	11.5	46
2025-07-07 12:00UTC	133	3612	-42.2	594.6	75	11.5	46
2025-07-07 12:00UTC	134	3615	-42.2	594.4	75	11.6	47
2025-07-07 12:00UTC	135	3618	-42.2	594.2	75	11.7	47
2025-07-07 12:00UTC	136	3620	-42.2	593.9	76	11.8	47
2025-07-07 12:00UTC	137	3622	-42.1	593.7	76	11.8	47
2025-07-07 12:00UTC	138	3625	-42.1	593.5	76	11.9	46
2025-07-07 12:00UTC	139	3627	-42.0	593.3	76	12.0	46
2025-07-07 12:00UTC	140	3630	-42.0	593.1	77	12.1	46
2025-07-07 12:00UTC	141	3632	-42.0	592.9	77	12.2	46
2025-07-07 12:00UTC	142	3634	-42.0	592.7	77	12.2	46
2025-07-07 12:00UTC	143	3637	-42.0	592.5	77	12.3	46
2025-07-07 12:00UTC	144	3640	-42.0	592.3	77	12.4	46
2025-07-07 12:00UTC	145	3642	-42.0	592.1	77	12.5	46
2025-07-07 12:00UTC	146	3644	-42.0	591.9	77	12.5	45
2025-07-07 12:00UTC	147	3646	-41.9	591.6	78	12.6	45
2025-07-07 12:00UTC	148	3649	-41.9	591.4	78	12.7	45
2025-07-07 12:00UTC	149	3651	-41.9	591.2	78	12.8	44
2025-07-07 12:00UTC	150	3653	-41.9	591.0	78	12.9	44
2025-07-07 12:00UTC	151	3656	-41.9	590.8	78	12.9	44
2025-07-07 12:00UTC	152	3658	-41.9	590.6	79	13.0	43
2025-07-07 12:00UTC	153	3660	-41.9	590.4	79	13.1	43
2025-07-07 12:00UTC	154	3663	-41.9	590.2	80	13.2	43
2025-07-07 12:00UTC	155	3666	-41.8	590.0	80	13.3	42
2025-07-07 12:00UTC	156	3667	-41.7	589.8	80	13.3	42
2025-07-07 12:00UTC	157	3670	-41.6	589.6	81	13.4	41
2025-07-07 12:00UTC	158	3673	-41.6	589.4	81	13.5	41
2025-07-07 12:00UTC	159	3675	-41.6	589.2	81	13.6	41
2025-07-07 12:00UTC	160	3677	-41.6	589.0	81	13.7	40
2025-07-07 12:00UTC	161	3679	-41.6	588.8	81	13.8	40
2025-07-07 12:00UTC	162	3682	-41.5	588.6	81	13.8	39
2025-07-07 12:00UTC	163	3684	-41.5	588.4	81	13.9	39
2025-07-07 12:00UTC	164	3686	-41.5	588.2	81	14.0	38
2025-07-07 12:00UTC	165	3688	-41.5	588.0	82	14.1	38
2025-07-07 12:00UTC	166	3691	-41.5	587.8	82	14.1	37
2025-07-07 12:00UTC	167	3693	-41.4	587.6	82	14.2	37
2025-07-07 12:00UTC	168	3695	-41.3	587.3	82	14.3	36
2025-07-07 12:00UTC	169	3698	-41.2	587.1	82	14.4	36
2025-07-07 12:00UTC	170	3701	-41.2	586.9	82	14.4	35
2025-07-07 12:00UTC	171	3703	-41.2	586.7	82	14.5	35
2025-07-07 12:00UTC	172	3705	-41.2	586.5	82	14.6	35
2025-07-07 12:00UTC	173	3707	-41.1	586.3	82	14.7	34
2025-07-07 12:00UTC	174	3709	-41.0	586.1	81	14.7	34
2025-07-07 12:00UTC	175	3712	-41.0	585.9	81	14.8	33
2025-07-07 12:00UTC	176	3715	-40.9	585.7	80	14.9	33
2025-07-07 12:00UTC	177	3717	-40.9	585.5	80	15.0	32
2025-07-07 12:00UTC	178	3720	-40.9	585.3	80	15.0	32
2025-07-07 12:00UTC	179	3722	-40.9	585.1	79	15.1	31
2025-07-07 12:00UTC	180	3724	-40.9	584.9	79	15.2	31
2025-07-07 12:00UTC	181	3727	-40.9	584.7	79	15.2	31
2025-07-07 12:00UTC	182	3729	-40.9	584.5	79	15.3	30
2025-07-07 12:00UTC	183	3731	-40.9	584.3	79	15.3	30
2025-07-07 12:00UTC	184	3733	-40.8	584.1	79	15.4	29
2025-07-07 12:00UTC	185	3736	-40.8	583.9	79	15.5	29
2025-07-07 12:00UTC	186	3739	-40.8	583.7	80	15.5	28
2025-07-07 12:00UTC	187	3741	-40.8	583.5	80	15.6	28
2025-07-07 12:00UTC	188	3743	-40.7	583.3	80	15.6	28
2025-07-07 12:00UTC	189	3745	-40.6	583.1	80	15.6	27
2025-07-07 12:00UTC	190	3747	-40.6	582.9	80	15.7	27
2025-07-07 12:00UTC	191	3750	-40.5	582.7	80	15.7	27
2025-07-07 12:00UTC	192	3752	-40.4	582.5	80	15.7	26
2025-07-07 12:00UTC	193	3755	-40.3	582.2	80	15.8	26
2025-07-07 12:00UTC	194	3757	-40.2	582.0	80	15.8	26
2025-07-07 12:00UTC	195	3760	-40.2	581.8	79	15.8	25
2025-07-07 12:00UTC	196	3763	-40.2	581.6	79	15.8	25
2025-07-07 12:00UTC	197	3765	-40.1	581.4	79	15.8	25
2025-07-07 12:00UTC	198	3767	-40.1	581.2	78	15.8	24
2025-07-07 12:00UTC	199	3770	-40.1	581.0	78	15.8	24
2025-07-07 12:00UTC	200	3771	-40.1	580.8	78	15.8	24
2025-07-07 12:00UTC	201	3773	-40.0	580.6	79	15.8	23
2025-07-07 12:00UTC	202	3776	-39.9	580.5	79	15.8	23
2025-07-07 12:00UTC	203	3778	-39.9	580.3	79	15.8	23
2025-07-07 12:00UTC	204	3781	-39.9	580.1	79	15.7	23
2025-07-07 12:00UTC	205	3783	-39.9	579.9	79	15.7	23
2025-07-07 12:00UTC	206	3784	-39.8	579.7	79	15.7	22
2025-07-07 12:00UTC	207	3787	-39.7	579.5	80	15.6	22
2025-07-07 12:00UTC	208	3790	-39.7	579.3	81	15.6	22
2025-07-07 12:00UTC	209	3792	-39.6	579.1	82	15.5	22
2025-07-07 12:00UTC	210	3795	-39.5	578.9	82	15.5	22
2025-07-07 12:00UTC	211	3796	-39.5	578.7	83	15.4	22
2025-07-07 12:00UTC	212	3799	-39.4	578.5	83	15.4	22
2025-07-07 12:00UTC	213	3801	-39.3	578.3	83	15.3	21
2025-07-07 12:00UTC	214	3804	-39.2	578.1	84	15.2	21
2025-07-07 12:00UTC	215	3806	-39.1	577.9	83	15.2	21
2025-07-07 12:00UTC	216	3809	-39.0	577.7	82	15.1	21
2025-07-07 12:00UTC	217	3811	-38.9	577.5	81	15.1	21
2025-07-07 12:00UTC	218	3814	-38.8	577.3	80	15.0	21
2025-07-07 12:00UTC	219	3816	-38.8	577.1	78	14.9	21
2025-07-07 12:00UTC	220	3818	-38.7	576.9	76	14.9	21
2025-07-07 12:00UTC	221	3820	-38.7	576.7	74	14.8	21
2025-07-07 12:00UTC	222	3822	-38.7	576.5	72	14.7	21
2025-07-07 12:00UTC	223	3825	-38.7	576.3	70	14.7	21
2025-07-07 12:00UTC	224	3828	-38.7	576.1	69	14.6	21
2025-07-07 12:00UTC	225	3831	-38.6	575.9	67	14.6	21
2025-07-07 12:00UTC	226	3833	-38.5	575.6	65	14.5	21
2025-07-07 12:00UTC	227	3835	-38.4	575.4	63	14.5	21
2025-07-07 12:00UTC	228	3838	-38.4	575.2	61	14.4	21
2025-07-07 12:00UTC	229	3840	-38.3	575.0	61	14.4	22
2025-07-07 12:00UTC	230	3844	-38.3	574.8	61	14.3	22
2025-07-07 12:00UTC	231	3845	-38.2	574.6	62	14.3	22
2025-07-07 12:00UTC	232	3847	-38.2	574.4	62	14.3	22
2025-07-07 12:00UTC	233	3849	-38.2	574.2	63	14.2	22
2025-07-07 12:00UTC	234	3852	-38.1	574.0	64	14.2	22
2025-07-07 12:00UTC	235	3855	-38.0	573.8	65	14.2	22
2025-07-07 12:00UTC	236	3857	-37.9	573.6	65	14.2	22
2025-07-07 12:00UTC	237	3860	-37.8	573.4	66	14.1	22
2025-07-07 12:00UTC	238	3861	-37.7	573.2	66	14.1	22
2025-07-07 12:00UTC	239	3864	-37.6	573.0	67	14.1	22
2025-07-07 12:00UTC	240	3867	-37.5	572.8	67	14.1	22
2025-07-07 12:00UTC	241	3869	-37.4	572.6	67	14.1	22
2025-07-07 12:00UTC	242	3872	-37.3	572.5	67	14.1	22
2025-07-07 12:00UTC	243	3873	-37.3	572.3	67	14.0	22
2025-07-07 12:00UTC	244	3876	-37.2	572.1	67	14.0	22
2025-07-07 12:00UTC	245	3878	-37.2	571.9	67	14.0	22
2025-07-07 12:00UTC	246	3881	-37.2	571.7	67	14.0	22
2025-07-07 12:00UTC	247	3883	-37.2	571.4	67	14.0	22
2025-07-07 12:00UTC	248	3886	-37.2	571.2	67	14.0	22
2025-07-07 12:00UTC	249	3889	-37.1	571.0	67	14.0	22
2025-07-07 12:00UTC	250	3892	-37.2	570.8	66	14.0	22
2025-07-07 12:00UTC	251	3894	-37.2	570.6	66	14.0	22
2025-07-07 12:00UTC	252	3896	-37.2	570.4	66	13.9	22
2025-07-07 12:00UTC	253	3899	-37.2	570.2	66	13.9	22
2025-07-07 12:00UTC	254	3902	-37.2	569.9	66	13.9	21
2025-07-07 12:00UTC	255	3904	-37.3	569.7	66	13.9	21
2025-07-07 12:00UTC	256	3907	-37.3	569.5	67	13.9	21
2025-07-07 12:00UTC	257	3909	-37.3	569.3	67	13.9	21
2025-07-07 12:00UTC	258	3912	-37.3	569.1	67	13.9	21
2025-07-07 12:00UTC	259	3914	-37.3	568.9	67	13.8	21
2025-07-07 12:00UTC	260	3917	-37.3	568.7	67	13.8	21
2025-07-07 12:00UTC	261	3920	-37.4	568.5	67	13.8	21
2025-07-07 12:00UTC	262	3922	-37.4	568.2	68	13.8	21
2025-07-07 12:00UTC	263	3925	-37.4	568.0	68	13.8	21
2025-07-07 12:00UTC	264	3928	-37.4	567.8	68	13.8	21
2025-07-07 12:00UTC	265	3930	-37.5	567.6	68	13.7	21
2025-07-07 12:00UTC	266	3932	-37.5	567.4	69	13.7	21
2025-07-07 12:00UTC	267	3936	-37.5	567.2	69	13.7	21
2025-07-07 12:00UTC	268	3938	-37.5	566.9	69	13.7	21
2025-07-07 12:00UTC	269	3941	-37.5	566.7	70	13.7	21
2025-07-07 12:00UTC	270	3944	-37.6	566.5	70	13.7	21
2025-07-07 12:00UTC	271	3947	-37.6	566.3	71	13.6	21
2025-07-07 12:00UTC	272	3949	-37.6	566.1	71	13.6	21
2025-07-07 12:00UTC	273	3951	-37.6	565.8	71	13.6	21
2025-07-07 12:00UTC	274	3954	-37.6	565.6	71	13.6	21
2025-07-07 12:00UTC	275	3956	-37.6	565.4	71	13.6	21
2025-07-07 12:00UTC	276	3959	-37.7	565.2	71	13.6	21
2025-07-07 12:00UTC	277	3962	-37.7	565.0	71	13.6	22
2025-07-07 12:00UTC	278	3964	-37.7	564.8	71	13.6	22
2025-07-07 12:00UTC	279	3967	-37.7	564.6	71	13.6	22
2025-07-07 12:00UTC	280	3969	-37.8	564.4	71	13.6	22
2025-07-07 12:00UTC	281	3971	-37.8	564.2	71	13.6	22
2025-07-07 12:00UTC	282	3974	-37.8	564.0	71	13.6	22
2025-07-07 12:00UTC	283	3976	-37.8	563.8	71	13.6	22
2025-07-07 12:00UTC	284	3979	-37.8	563.6	71	13.6	22
2025-07-07 12:00UTC	285	3981	-37.8	563.4	71	13.6	22
2025-07-07 12:00UTC	286	3984	-37.8	563.2	71	13.6	22
2025-07-07 12:00UTC	287	3987	-37.9	563.0	71	13.6	22
2025-07-07 12:00UTC	288	3988	-37.9	562.8	71	13.6	22
2025-07-07 12:00UTC	289	3990	-37.9	562.6	71	13.6	22
2025-07-07 12:00UTC	290	3993	-37.9	562.4	71	13.6	22
2025-07-07 12:00UTC	291	3995	-37.9	562.2	71	13.6	22
2025-07-07 12:00UTC	292	3998	-38.0	562.0	71	13.6	22
2025-07-07 12:00UTC	293	4001	-38.0	561.8	71	13.6	22
2025-07-07 12:00UTC	294	4003	-38.0	561.6	72	13.7	22
2025-07-07 12:00UTC	295	4007	-38.0	561.4	72	13.7	22
2025-07-07 12:00UTC	296	4009	-38.1	561.2	72	13.7	22
2025-07-07 12:00UTC	297	4011	-38.1	560.9	72	13.7	22
2025-07-07 12:00UTC	298	4015	-38.1	560.7	72	13.7	22
2025-07-07 12:00UTC	299	4017	-38.1	560.5	72	13.8	22
2025-07-07 12:00UTC	300	4019	-38.1	560.3	72	13.8	22
2025-07-07 12:00UTC	301	4021	-38.2	560.1	72	13.8	22
2025-07-07 12:00UTC	302	4023	-38.2	559.9	72	13.8	22
2025-07-07 12:00UTC	303	4027	-38.2	559.7	72	13.9	22
2025-07-07 12:00UTC	304	4028	-38.2	559.5	73	13.9	22
2025-07-07 12:00UTC	305	4032	-38.2	559.3	73	14.0	22
2025-07-07 12:00UTC	306	4034	-38.3	559.1	73	14.0	22
2025-07-07 12:00UTC	307	4037	-38.3	558.8	73	14.0	22
2025-07-07 12:00UTC	308	4040	-38.3	558.6	74	14.1	22
2025-07-07 12:00UTC	309	4043	-38.4	558.4	74	14.1	22
2025-07-07 12:00UTC	310	4046	-38.4	558.1	74	14.2	22
2025-07-07 12:00UTC	311	4050	-38.4	557.9	74	14.2	21
2025-07-07 12:00UTC	312	4053	-38.4	557.7	74	14.3	21
2025-07-07 12:00UTC	313	4055	-38.5	557.4	74	14.3	21
2025-07-07 12:00UTC	314	4058	-38.5	557.2	73	14.4	21
2025-07-07 12:00UTC	315	4060	-38.5	557.0	73	14.4	21
2025-07-07 12:00UTC	316	4063	-38.5	556.8	73	14.5	20
2025-07-07 12:00UTC	317	4065	-38.5	556.6	73	14.5	20
2025-07-07 12:00UTC	318	4068	-38.5	556.4	73	14.6	20
2025-07-07 12:00UTC	319	4070	-38.5	556.2	73	14.6	20
2025-07-07 12:00UTC	320	4073	-38.5	556.0	73	14.6	20
2025-07-07 12:00UTC	321	4074	-38.6	555.8	74	14.7	19
2025-07-07 12:00UTC	322	4078	-38.6	555.6	74	14.7	19
2025-07-07 12:00UTC	323	4080	-38.6	555.4	73	14.8	19
2025-07-07 12:00UTC	324	4084	-38.6	555.1	73	14.8	19
2025-07-07 12:00UTC	325	4086	-38.6	554.9	73	14.8	18
2025-07-07 12:00UTC	326	4088	-38.6	554.8	73	14.8	18
2025-07-07 12:00UTC	327	4090	-38.7	554.6	73	14.8	18
2025-07-07 12:00UTC	328	4092	-38.7	554.4	73	14.8	18
2025-07-07 12:00UTC	329	4094	-38.7	554.2	73	14.9	18
2025-07-07 12:00UTC	330	4096	-38.7	554.0	73	14.9	17
2025-07-07 12:00UTC	331	4099	-38.7	553.8	73	14.8	17
2025-07-07 12:00UTC	332	4102	-38.7	553.6	73	14.8	17
2025-07-07 12:00UTC	333	4104	-38.8	553.4	73	14.8	17
2025-07-07 12:00UTC	334	4107	-38.8	553.1	73	14.8	16
2025-07-07 12:00UTC	335	4110	-38.8	552.9	73	14.8	16
2025-07-07 12:00UTC	336	4114	-38.8	552.7	74	14.7	16
2025-07-07 12:00UTC	337	4117	-38.9	552.4	74	14.7	16
2025-07-07 12:00UTC	338	4119	-38.9	552.2	74	14.7	15
2025-07-07 12:00UTC	339	4122	-38.9	552.0	74	14.6	15
2025-07-07 12:00UTC	340	4125	-38.9	551.8	74	14.6	15
2025-07-07 12:00UTC	341	4128	-38.9	551.6	73	14.5	15
2025-07-07 12:00UTC	342	4130	-38.9	551.3	73	14.5	15
2025-07-07 12:00UTC	343	4132	-38.9	551.1	72	14.4	14
2025-07-07 12:00UTC	344	4134	-38.9	550.9	72	14.4	14
2025-07-07 12:00UTC	345	4139	-38.9	550.7	72	14.3	14
2025-07-07 12:00UTC	346	4141	-38.9	550.5	72	14.2	14
2025-07-07 12:00UTC	347	4143	-38.9	550.2	72	14.2	13
2025-07-07 12:00UTC	348	4147	-38.9	550.0	72	14.1	13
2025-07-07 12:00UTC	349	4149	-38.9	549.8	73	14.1	13
2025-07-07 12:00UTC	350	4152	-38.9	549.6	73	14.0	13
2025-07-07 12:00UTC	351	4155	-38.9	549.4	73	13.9	12
2025-07-07 12:00UTC	352	4157	-38.9	549.2	72	13.9	12
2025-07-07 12:00UTC	353	4160	-38.9	549.0	72	13.8	12
2025-07-07 12:00UTC	354	4163	-38.9	548.8	72	13.7	12
2025-07-07 12:00UTC	355	4165	-38.8	548.6	71	13.7	11
2025-07-07 12:00UTC	356	4167	-38.8	548.4	71	13.6	11
2025-07-07 12:00UTC	357	4169	-38.8	548.2	70	13.5	11
2025-07-07 12:00UTC	358	4172	-38.7	548.0	70	13.4	11
2025-07-07 12:00UTC	359	4174	-38.7	547.8	70	13.4	10
2025-07-07 12:00UTC	360	4177	-38.7	547.6	70	13.3	10
2025-07-07 12:00UTC	361	4180	-38.7	547.3	70	13.2	10
2025-07-07 12:00UTC	362	4183	-38.8	547.1	70	13.1	10
2025-07-07 12:00UTC	363	4186	-38.8	546.9	71	13.0	10
2025-07-07 12:00UTC	364	4189	-38.8	546.6	71	13.0	10
2025-07-07 12:00UTC	365	4193	-38.8	546.4	72	12.9	9
2025-07-07 12:00UTC	366	4197	-38.9	546.1	72	12.8	9
2025-07-07 12:00UTC	367	4199	-38.9	545.9	72	12.7	9
2025-07-07 12:00UTC	368	4201	-38.9	545.7	71	12.6	9
2025-07-07 12:00UTC	369	4202	-38.9	545.5	71	12.5	9
2025-07-07 12:00UTC	370	4205	-38.9	545.3	70	12.4	9
2025-07-07 12:00UTC	371	4207	-38.8	545.1	70	12.3	9
2025-07-07 12:00UTC	372	4211	-38.8	544.9	70	12.3	9
2025-07-07 12:00UTC	373	4214	-38.9	544.6	70	12.2	9
2025-07-07 12:00UTC	374	4218	-38.9	544.4	70	12.1	9
2025-07-07 12:00UTC	375	4220	-38.9	544.1	70	12.0	9
2025-07-07 12:00UTC	376	4223	-38.9	543.9	70	11.9	9
2025-07-07 12:00UTC	377	4226	-39.0	543.7	70	11.8	9
2025-07-07 12:00UTC	378	4230	-38.9	543.4	70	11.8	9
2025-07-07 12:00UTC	379	4233	-39.0	543.2	70	11.7	9
2025-07-07 12:00UTC	380	4236	-38.9	542.9	70	11.6	9
2025-07-07 12:00UTC	381	4238	-38.9	542.7	70	11.6	9
2025-07-07 12:00UTC	382	4241	-38.9	542.5	70	11.5	9
2025-07-07 12:00UTC	383	4244	-39.0	542.3	71	11.4	9
2025-07-07 12:00UTC	384	4246	-39.0	542.1	71	11.4	9
2025-07-07 12:00UTC	385	4249	-39.0	541.9	71	11.3	9
2025-07-07 12:00UTC	386	4252	-39.0	541.7	71	11.3	9
2025-07-07 12:00UTC	387	4253	-39.0	541.5	71	11.2	9
2025-07-07 12:00UTC	388	4256	-39.0	541.3	71	11.2	9
2025-07-07 12:00UTC	389	4258	-39.1	541.1	71	11.2	9
2025-07-07 12:00UTC	390	4262	-39.1	540.9	71	11.1	8
