Sounding of        	seconds	height	Temp	Pres	Rh	Vel	Dir
2025-07-07 12:00UTC	0	3239	-61.1	629.2	37	3.8	88
2025-07-07 12:00UTC	1	3242	-60.2	628.9	100	4.3	70
2025-07-07 12:00UTC	6	3243	-61.5	628.8	100	7.0	60
2025-07-07 12:00UTC	7	3246	-61.5	628.0	94	7.3	60
2025-07-07 12:00UTC	8	3252	-61.2	627.6	88	7.8	60
2025-07-07 12:00UTC	9	3258	-60.8	627.2	83	8.3	59
2025-07-07 12:00UTC	10	3263	-60.4	626.7	79	8.9	59
2025-07-07 12:00UTC	11	3269	-59.8	626.2	76	9.4	58
2025-07-07 12:00UTC	12	3275	-58.8	625.7	74	9.9	57
2025-07-07 12:00UTC	13	3280	-57.8	625.2	74	10.4	57
2025-07-07 12:00UTC	14	3283	-57.2	624.8	74	10.9	56
2025-07-07 12:00UTC	15	3288	-57.0	624.3	76	11.3	56
2025-07-07 12:00UTC	16	3291	-56.6	623.8	78	11.7	55
2025-07-07 12:00UTC	17	3296	-56.0	623.4	80	12.0	54
2025-07-07 12:00UTC	18	3302	-55.5	622.9	82	12.3	54
2025-07-07 12:00UTC	19	3308	-55.0	622.5	82	12.6	53
2025-07-07 12:00UTC	20	3312	-54.6	622.1	82	12.8	52
2025-07-07 12:00UTC	21	3314	-54.2	621.7	82	13.0	52
2025-07-07 12:00UTC	22	3318	-54.0	621.3	81	13.1	51
2025-07-07 12:00UTC	23	3322	-53.5	620.9	80	13.2	50
2025-07-07 12:00UTC	24	3327	-52.6	620.4	79	13.3	50
2025-07-07 12:00UTC	25	3332	-51.2	620.0	77	13.3	49
2025-07-07 12:00UTC	26	3337	-50.2	619.7	75	13.2	48
2025-07-07 12:00UTC	27	3341	-49.7	619.3	75	13.2	47
2025-07-07 12:00UTC	28	3344	-49.2	619.0	75	13.1	47
2025-07-07 12:00UTC	29	3347	-48.7	618.7	75	13.0	46
2025-07-07 12:00UTC	30	3349	-48.4	618.4	75	12.8	45
2025-07-07 12:00UTC	31	3352	-48.0	618.1	74	12.6	45
2025-07-07 12:00UTC	32	3354	-47.6	617.9	73	12.5	44
2025-07-07 12:00UTC	33	3358	-47.3	617.6	72	12.3	43
2025-07-07 12:00UTC	34	3359	-46.8	617.4	71	12.1	43
2025-07-07 12:00UTC	35	3362	-46.5	617.2	71	11.9	42
2025-07-07 12:00UTC	36	3364	-46.3	616.9	70	11.7	41
2025-07-07 12:00UTC	37	3367	-46.0	616.7	70	11.4	41
2025-07-07 12:00UTC	38	3370	-45.8	616.5	69	11.2	40
2025-07-07 12:00UTC	39	3372	-45.7	616.2	69	11.0	40
2025-07-07 12:00UTC	40	3375	-45.5	616.0	68	10.9	39
2025-07-07 12:00UTC	41	3377	-45.3	615.8	68	10.7	39
2025-07-07 12:00UTC	42	3380	-45.3	615.5	68	10.5	38
2025-07-07 12:00UTC	43	3382	-45.2	615.3	68	10.4	38
2025-07-07 12:00UTC	44	3385	-45.1	615.1	68	10.2	37
2025-07-07 12:00UTC	45	3387	-44.9	614.9	68	10.1	37
2025-07-07 12:00UTC	46	3389	-44.8	614.6	69	9.9	37
2025-07-07 12:00UTC	47	3392	-44.8	614.4	68	9.8	36
2025-07-07 12:00UTC	48	3395	-44.8	614.2	68	9.7	36
2025-07-07 12:00UTC	49	3397	-44.8	613.9	68	9.6	36
2025-07-07 12:00UTC	50	3400	-44.8	613.7	68	9.5	35
2025-07-07 12:00UTC	51	3402	-44.7	613.5	67	9.4	35
2025-07-07 12:00UTC	52	3405	-44.5	613.2	67	9.4	34
